id,nazwa_firmy,adres,miasto,telefon,email,strona_www,branza,ocena,liczba_opinii,godziny_otwarcia,zrodlo,data_znalezienia,data_wyslania,kanal_wyslania,link_preview,status,data_odpowiedzi,notatki
3b0d8ff3,Cechowa,"Jagiellońska 11, 31-010, Kraków",Kraków,+48124210936,restauracjacechowa@gmail.com,https://www.restauracjacechowa.pl/,restauracja,,,Mo-Su 12:00-22:00,osm,2026-03-30,,,,new,,
77f0639f,Trattoria Soprano,"Świętej Anny 7, 31-008, Kraków",Kraków,+48124225195,,http://www.trattoriasoprano.pl/en/,restauracja,,,Mo-Su 12:00-22:00,osm,2026-03-30,,,,new,,
dde03e27,Mr Jerry,"Jagiellońska 5, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
c8b1082a,Pino,"Szczepańska 4, Kraków",Kraków,+48 609 015 016,pino@restauracjapino.pl,https://www.restauracjapino.pl/,restauracja,,,Mo-Th 13:00-23:00; Fr-Su 12:00-23:00,osm,2026-03-30,,,,new,,
68a8bde6,Morskie Oko,"Plac Szczepański 8, Kraków",Kraków,+48 12 431 24 33,,http://www.morskieoko.krakow.pl,restauracja,,,Mo-Su 12:00-24:00,osm,2026-03-30,,,,new,,
f2bef813,Kluska na Placu,"Plac Szczepański 7, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
98cc40d2,Rybki Nove,"Szczepańska 5, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
7e7ccb41,Restauracja Towarzyska,"Rynek Główny 32, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
376df74c,Tetmajerowska,"Rynek Główny 34, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
20823cae,Hawełka,"Rynek Główny 34, 31-010, Kraków",Kraków,+48 605 821 161,,https://www.hawelka.pl/,restauracja,,,Mo-Su 10:00-22:00,osm,2026-03-30,,,,new,,
c1b29cbb,Europejska,Kraków,Kraków,,,,restauracja,,,"Su-Th 09:00-21:00; Fr,Sa 09:00-22:00",osm,2026-03-30,,,,new,,
61ad847a,Magnateria,"Rynek Główny 20, Kraków",Kraków,,,https://www.magnateria-restauracja.pl,restauracja,,,Mo-Su 08:00-01:00,osm,2026-03-30,,,,new,,
e752124a,La grande mamma,Kraków,Kraków,,,https://lagrandemamma.pl,restauracja,,,"Mo-Su,PH 12:00-23:00",osm,2026-03-30,,,,new,,
02ee5ddf,Sioux,"Rynek Główny 22, Kraków",Kraków,,,,restauracja,,,,osm,2026-03-30,,,,new,,
4b2601d9,Dominium Pizza,"Rynek Główny 22, Kraków",Kraków,,,,restauracja,,,Mo-Su 12:00-23:00,osm,2026-03-30,,,,new,,
02cc1ed4,Wentzl,"Rynek Główny 19, Kraków",Kraków,,,,restauracja,,,"Mo-Th 09:00-22:00; Fr,Sa 09:00-23:00; Su 09:00-22:00; PH 09:00-24:00",osm,2026-03-30,,,,new,,
